date;device-id;rssi;snr;payload
2024-02-19T16:06:40.650140799Z;eui-70b3d57ed00633b8;-48;13.5;22.69C,37.64%,997.06Pa
2024-02-19T16:07:46.779985511Z;eui-70b3d57ed00633b8;-51;11.5;22.46C,37.19%,997.10Pa
2024-02-19T16:08:52.911209236Z;eui-70b3d57ed00633b8;-49;13.75;22.44C,37.08%,997.08Pa
2024-02-19T16:09:59.030402351Z;eui-70b3d57ed00633b8;-49;13;22.47C,39.05%,997.07Pa
2024-02-19T16:11:05.162020458Z;eui-70b3d57ed00633b8;-47;11.5;22.51C,39.67%,997.06Pa
2024-02-19T16:12:11.290313841Z;eui-70b3d57ed00633b8;-48;13.75;23.41C,40.76%,996.87Pa
2024-02-19T16:13:17.420414841Z;eui-70b3d57ed00633b8;-48;13;23.62C,40.67%,996.91Pa
2024-02-19T16:14:23.563164525Z;eui-70b3d57ed00633b8;-57;12.25;23.73C,40.58%,996.83Pa
2024-02-19T16:15:29.683764412Z;eui-70b3d57ed00633b8;-52;14;23.93C,40.96%,996.85Pa
2024-02-19T16:16:35.821269875Z;eui-70b3d57ed00633b8;-65;14;23.93C,40.86%,996.85Pa
2024-02-19T16:17:41.941321292Z;eui-70b3d57ed00633b8;-58;13.75;23.95C,40.68%,996.85Pa
2024-02-19T16:18:48.087100446Z;eui-70b3d57ed00633b8;-55;13.5;24.33C,44.30%,996.93Pa
2024-02-19T16:19:54.454927180Z;eui-70b3d57ed00633b8;-54;13.5;24.31C,41.25%,996.87Pa
2024-02-19T16:21:00.331619630Z;eui-70b3d57ed00633b8;-53;11.75;24.31C,41.55%,996.87Pa
2024-02-19T16:22:06.466956960Z;eui-70b3d57ed00633b8;-55;10;24.32C,41.68%,996.87Pa
2024-02-19T16:23:12.589306759Z;eui-70b3d57ed00633b8;-54;13.25;24.33C,41.60%,996.88Pa
2024-02-19T16:24:18.729727518Z;eui-70b3d57ed00633b8;-52;14;24.51C,42.13%,996.93Pa
2024-02-19T16:25:24.861973365Z;eui-70b3d57ed00633b8;-48;14;24.48C,41.98%,996.84Pa
2024-02-19T16:26:30.995418858Z;eui-70b3d57ed00633b8;-53;13.5;24.50C,42.60%,996.79Pa
2024-02-19T16:27:37.115775262Z;eui-70b3d57ed00633b8;-48;10.75;24.50C,42.09%,996.79Pa
2024-02-19T16:28:43.076817865Z;eui-70b3d57ed00633b8;-47;11.75;;24.59;42.44;996.77;;;;
2024-02-19T16:29:49.194078152Z;eui-70b3d57ed00633b8;-45;13.25;;24.59;42.42;996.83;;;;
2024-02-19T16:43:41.043631135Z;eui-70b3d57ed00633b8;-43;14.75;;24.72;44.65;996.74;;;;
2024-02-21T16:52:08.664820894Z;eui-70b3d57ed00633b8;-59;13.5;;19.33;42.02;987.49;;;;
2024-02-21T16:58:02.324781633Z;eui-70b3d57ed00633b8;-62;13.5;;19.66;41.16;987.29;;;;
2024-02-21T16:59:08.445919344Z;eui-70b3d57ed00633b8;-63;13.5;;19.70;41.11;987.35;;;;
2024-02-21T17:00:14.576312364Z;eui-70b3d57ed00633b8;-61;14;;19.73;41.32;987.29;;;;
2024-02-21T17:01:20.726742376Z;eui-70b3d57ed00633b8;-65;13.5;;19.75;41.40;987.27;;;;
2024-02-21T17:02:26.834854501Z;eui-70b3d57ed00633b8;-46;13.25;;19.92;41.08;987.24;;;;
2024-02-21T17:03:32.972004221Z;eui-70b3d57ed00633b8;-46;13.5;;20.07;41.21;987.33;;;;
2024-02-21T17:04:39.115090627Z;eui-70b3d57ed00633b8;-43;9.25;;20.04;40.75;987.28;;;;
2024-02-21T17:05:45.246501873Z;eui-70b3d57ed00633b8;-46;11;;20.03;40.84;987.29;;;;
2024-02-21T17:06:51.365757929Z;eui-70b3d57ed00633b8;-46;13.75;;20.03;40.91;987.29;;;;
2024-02-21T17:07:52.141660774Z;eui-70b3d57ed00633b8;-40;13.25;;20.02;41.15;987.26;;;;
2024-02-21T17:12:46.723126556Z;eui-70b3d57ed00633b8;-42;13.5;;20.03;41.04;987.27;;;;
2024-02-21T17:13:52.872232871Z;eui-70b3d57ed00633b8;-43;13.75;;20.04;41.16;987.28;;;;
2024-02-21T17:14:58.993390608Z;eui-70b3d57ed00633b8;-42;13;;20.05;41.21;987.19;;;;
2024-02-21T17:19:22.994466768Z;eui-70b3d57ed00633b8;-41;14.75;1073502844;20.06;41.16;987.13;;;;
2024-02-21T17:22:34.919935402Z;eui-70b3d57ed00633b8;-41;11.75;1073502828;20.11;41.40;987.19;;;;
2024-02-21T17:23:41.064477934Z;eui-70b3d57ed00633b8;-39;13.25;1073502828;20.12;41.48;987.17;;;;
2024-02-21T17:24:47.228128367Z;eui-70b3d57ed00633b8;-37;13.5;1073502828;20.13;41.44;987.25;;;;
2024-02-21T17:25:53.368792965Z;eui-70b3d57ed00633b8;-39;13.25;1073502828;20.12;41.45;987.26;;;;
2024-02-21T17:26:59.519466627Z;eui-70b3d57ed00633b8;-43;13.5;1073502828;20.14;41.48;987.18;;;;
2024-02-21T17:31:15.089633450Z;eui-70b3d57ed00633b8;-41;14;1073502844;20.14;41.39;987.22;;;;
2024-02-21T17:36:46.622391576Z;eui-70b3d57ed00633b8;-44;14.5;11011;20.18;41.53;987.14;;;;
2024-02-21T17:38:19.266635310Z;eui-70b3d57ed00633b8;-42;13;11011;20.18;41.53;987.14;;;;
2024-02-21T17:39:34.090754321Z;eui-70b3d57ed00633b8;-44;13.25;11011;20.20;41.67;987.15;;;;
2024-02-21T17:40:40.234659805Z;eui-70b3d57ed00633b8;-45;13.75;11011;20.21;41.86;987.11;;;;
2024-02-21T17:45:01.145970771Z;eui-70b3d57ed00633b8;-42;10;11011;20.22;41.75;987.10;;;;
2024-02-21T17:46:33.784868681Z;eui-70b3d57ed00633b8;-45;10.5;11011;20.22;41.73;987.02;;;;
2024-02-21T17:47:39.916572342Z;eui-70b3d57ed00633b8;-44;13.25;11011;20.26;41.82;986.98;;;;
2024-02-21T17:57:49.449348973Z;eui-70b3d57ed00633b8;-45;13.5;11011;20.16;42.08;986.90;;;;
2024-02-21T17:58:55.602708036Z;eui-70b3d57ed00633b8;-45;12.75;11011;20.17;42.08;986.94;;;;
2024-02-21T18:03:40.316122636Z;eui-70b3d57ed00633b8;-41;14.5;11011;20.13;42.15;986.87;;;;
2024-02-21T18:05:01.760289905Z;eui-70b3d57ed00633b8;-40;11.5;11011;20.13;42.15;986.84;;;;
2024-02-21T18:06:07.892648750Z;eui-70b3d57ed00633b8;-40;13;11011;20.22;42.28;986.59;;;;
2024-02-21T18:07:28.306950828Z;eui-70b3d57ed00633b8;-45;13.5;11011;20.19;42.24;986.59;;;;
2024-02-21T18:08:43.131053738Z;eui-70b3d57ed00633b8;-45;13.75;11011;20.17;42.22;986.59;;;;
2024-02-21T18:09:49.274665080Z;eui-70b3d57ed00633b8;-48;13.5;11011;20.15;42.32;986.56;;;;
2024-02-21T18:10:55.416390862Z;eui-70b3d57ed00633b8;-43;13;11011;20.17;42.35;986.56;;;;
2024-02-21T18:12:00.735605216Z;eui-70b3d57ed00633b8;-46;10.5;11011;20.16;42.40;986.49;50.047230;10.206352;238.50;
2024-02-21T18:13:06.871191775Z;eui-70b3d57ed00633b8;-43;14;11011;20.14;42.45;986.51;;;;
2024-02-21T18:14:13.017185037Z;eui-70b3d57ed00633b8;-46;13.25;11011;20.15;42.52;986.49;;;;
2024-02-21T18:15:18.328740170Z;eui-70b3d57ed00633b8;-47;13.5;11011;20.14;42.48;986.45;50.047352;10.206205;235.60;
2024-02-21T18:16:24.482630817Z;eui-70b3d57ed00633b8;-47;11.5;11011;20.16;42.61;986.48;;;;
2024-02-21T18:17:30.619069410Z;eui-70b3d57ed00633b8;-46;13.5;11011;20.13;42.61;986.43;;;;
2024-02-21T18:18:36.768255058Z;eui-70b3d57ed00633b8;-49;12.75;11011;20.12;42.63;986.42;;;;
2024-02-21T18:19:42.912238132Z;eui-70b3d57ed00633b8;-48;13;11011;20.14;42.66;986.45;;;;
2024-02-21T18:20:49.041518446Z;eui-70b3d57ed00633b8;-48;13.25;11011;20.10;42.67;986.39;;;;
2024-02-21T18:21:55.195514996Z;eui-70b3d57ed00633b8;-50;14;11011;20.11;42.68;986.38;;;;
2024-02-21T18:23:01.320873689Z;eui-70b3d57ed00633b8;-45;13.25;11011;20.12;42.68;986.39;;;;
2024-02-21T18:24:07.465330588Z;eui-70b3d57ed00633b8;-43;13.25;11011;20.10;42.77;986.33;;;;
2024-02-21T18:25:13.606426998Z;eui-70b3d57ed00633b8;-45;13.75;11011;20.12;42.91;986.34;;;;
2024-02-21T18:26:19.754476951Z;eui-70b3d57ed00633b8;-46;10;11011;20.09;42.76;986.27;;;;
2024-02-21T18:27:25.062310247Z;eui-70b3d57ed00633b8;-50;10.75;11011;20.09;42.78;986.32;50.047218;10.206126;247.20;
2024-02-21T18:28:31.216195420Z;eui-70b3d57ed00633b8;-46;13.75;11011;20.10;42.87;986.30;;;;
2024-02-21T18:29:37.348961356Z;eui-70b3d57ed00633b8;-43;13.25;11011;20.09;42.85;986.23;;;;
2024-02-21T18:30:43.489152983Z;eui-70b3d57ed00633b8;-48;11.5;11011;20.08;42.82;986.28;;;;
2024-02-21T18:31:49.634928998Z;eui-70b3d57ed00633b8;-46;14;11011;20.08;42.91;986.13;;;;
2024-02-21T18:32:55.766771484Z;eui-70b3d57ed00633b8;-44;10.75;11011;20.10;42.83;986.14;;;;
2024-02-21T18:34:01.908705688Z;eui-70b3d57ed00633b8;-46;13.5;11011;20.10;42.85;986.14;;;;
2024-02-21T18:37:41.924358014Z;eui-70b3d57ed00633b8;-43;16.25;11011;20.12;42.85;986.15;;;;
2024-02-21T18:39:09.107898739Z;eui-70b3d57ed00633b8;-43;13.25;11011;20.13;42.83;986.17;;;;
