date;device-id;rssi;snr;status;temperature;humidity;pressure;latitude;longitude;altitude;battery;ph;soilMoisture;leafMoisture
2024-02-22T14:50:35.907219385Z;eui-70b3d57ed00633b8;-57;15;11011;21.68;42.31;966.13;;;;42.00;5.00;40.20;33.69
2024-02-22T14:52:03.626871811Z;eui-70b3d57ed00633b8;-57;13.5;11011;21.67;42.33;966.10;50.047192;10.206145;228.50;42.00;5.00;40.20;33.69
2024-02-22T14:57:12.117811614Z;eui-70b3d57ed00633b8;-58;11.5;11011;21.71;42.32;966.04;;;;42.00;5.00;40.20;33.69
2024-02-22T14:59:02.179754874Z;eui-70b3d57ed00633b8;-61;14;11011;21.71;42.34;966.09;;;;42.00;5.00;40.20;33.69
2024-02-22T15:00:08.473454109Z;eui-70b3d57ed00633b8;-62;13.5;11011;21.68;42.11;966.07;;;;42.00;5.00;40.20;33.69
2024-02-22T15:01:14.760509995Z;eui-70b3d57ed00633b8;-62;9.5;11011;21.66;42.24;966.06;;;;42.00;5.00;40.20;33.69
2024-02-22T15:02:21.055762748Z;eui-70b3d57ed00633b8;-61;13.5;11011;21.39;42.47;965.94;;;;42.00;5.00;40.20;33.69
2024-02-22T15:03:27.365922760Z;eui-70b3d57ed00633b8;-61;12.75;11011;21.34;42.25;965.91;;;;42.00;5.00;40.20;33.69
2024-02-22T15:04:33.649605320Z;eui-70b3d57ed00633b8;-62;12.5;11011;21.44;42.26;965.83;;;;42.00;5.00;40.20;33.69
2024-02-22T15:05:39.954650239Z;eui-70b3d57ed00633b8;-61;13.5;11011;21.38;42.26;965.87;;;;42.00;5.00;40.20;33.69
2024-02-22T15:06:46.242832406Z;eui-70b3d57ed00633b8;-63;13.25;11011;21.45;42.27;965.88;;;;42.00;5.00;40.20;33.69
2024-02-22T15:07:52.530040293Z;eui-70b3d57ed00633b8;-63;13.5;11011;21.49;41.97;965.86;;;;42.00;5.00;40.20;33.69
2024-02-22T15:08:58.823913447Z;eui-70b3d57ed00633b8;-62;9.75;11011;21.49;41.97;965.86;;;;42.00;5.00;40.20;33.69
